YEAR,Precipitation
2000,1.6405756578947368
2001,1.7678015350877192
2002,1.6742379385964912
2003,1.6336622807017545
2004,1.579300986842105
2005,1.7632264254385965
2006,2.8751672149122807
2007,2.5430509868421054
2008,2.2331770833333335
2009,2.0412911184210527
2010,2.6240734649122808
2011,1.8131222587719298
2012,2.3384237938596493
2013,2.848703399122807
2014,2.861170504385965
2015,2.55202850877193
2016,2.909969846491228
2017,2.8037719298245616
2018,2.576825657894737
2019,2.983086622807017
2020,3.7571628289473686
2021,3.3318146929824564
2022,2.697001096491228
2023,3.697521929824561
