YEAR,Solar_Radiation
2000,21.225879629629627
2001,20.336212962962964
2002,20.732055555555558
2003,21.020925925925926
2004,21.042416666666664
2005,21.24136111111111
2006,20.707398148148147
2007,21.02109259259259
2008,21.04637962962963
2009,21.16241666666667
2010,20.25435185185185
2011,20.994675925925925
2012,21.254175925925924
2013,20.725925925925925
2014,20.847925925925924
2015,21.474435185185186
2016,21.02808333333333
2017,21.146944444444443
2018,20.666870370370372
2019,20.86773148148148
2020,20.498231481481483
2021,20.920962962962964
2022,20.619796296296297
2023,20.889453703703705
